## Torsion are defined with the following atomIDs:
# dihed1: ai= 1637 aj= 1639 ak= 1638 al= 1633
# dihed2: ai= 1639 aj= 1638 ak= 1633 al= 1634
# Frame#   dihed1   dihed2
1015   59.117  -47.048
1016   63.938  -63.305
1017   62.484  -41.373
1018   60.473  -67.485
1019   72.311  -81.779
1020   64.692  -38.092
1021   83.788  -60.080
1022   67.019  -59.941
1023   69.822  -67.386
1024   57.869  -87.961
1025   59.351  -74.429
1026   31.873  -88.316
1027   76.155  -74.917
1028   74.294  -58.830
1029   64.046  -51.198
1030   67.686  -49.581
1031   84.441  -61.249
1032   69.041  -76.136
1033   70.263  -47.052
1034   61.155  -68.090
1035   49.949  -57.884
1036   61.363  -55.790
1037   81.143  -42.806
1038   65.758  -59.946
1039   77.894  -37.511
1040   70.143  -72.635
1041   53.273  -71.963
1042   74.522  -59.339
1043   63.076  -69.350
1044   67.495  -57.193
1045   60.775  -60.325
1046   81.044  -79.789
1047   68.354  -64.406
1048   70.267  -91.490
1049   45.447  -20.545
1050   63.915  -61.106
1051   59.147  -75.268
1052   64.067  -51.128
1053   72.745  -67.394
1054   64.134  -44.407
1055   69.497  -56.706
1056   63.487  -82.995
1057   77.195  -81.134
1058   69.019  -41.709
1059   76.127  -60.514
1060   62.315  -66.221
1061   63.245  -69.654
1062   63.205  -62.048
1063   71.872  -53.461
1064   66.053  -89.048
1065   77.795  -55.767
1066   66.898  -58.835
1067   61.360  164.483
1068   59.742  167.293
1069   68.838  161.177
1070   75.183  173.187
1071   68.491  174.242
1072   58.548 -176.991
1073   52.078 -160.352
1074   72.264 -176.560
1075   65.646 -178.122
1076   61.906  175.497
1077   71.616  165.978
1078   65.968 -163.804
1079   61.486 -179.647
1080   71.642 -152.023
1081   72.436 -156.990
1082   84.309 -164.353
1083   59.400  178.749
1084   59.786  177.683
1085   59.422  162.178
1086   53.732  178.293
1087   54.273  161.656
1088   74.346 -178.843
1089   62.196 -179.658
1090   74.541  177.643
1091   65.179  179.545
1092   47.576  172.293
1093   63.005  166.286
1094   66.049  176.200
1095   58.629 -171.839
1096   60.288 -179.386
1097   65.444 -172.858
1098   54.949  157.835
1099   43.826  169.666
1100   68.424  174.757
1101   72.989  177.501
1102   75.584 -175.998
1103   72.859  178.056
1104   71.160  177.478
1105   75.926 -179.979
1106   66.148  173.337
1107   61.400  175.558
1108   66.165  164.429
1109   62.910  178.442
1110   67.426  172.327
1111   67.813 -159.543
1112  -80.088 -174.456
1113  -45.041 -169.193
